nvm,ncm,nvf,ncf,agb,nsc,pn,pr,fn,cn
0.111,40.9,0.183,43.9,0.832,1.843,10288.4,4791,17.8,19.5
0.132,43.4,0.174,44,1.045,2.008,11982.66667,5874.5,19.4,20.8
0.137,41.2,0.166,37.5,0.983,1.9432,10741.73333,5047.9,17.3,18.3
0.143,39.5,0.157,40.3,0.845,1.8403,12815.33333,5413.3,18.9,13.5
0.152,40.5,0.117,41.6,1.024,2.0529,12848.66667,6356.1,15.2,16.8
0.131,42.6,0.182,42.5,1.006,2.1381,11653.66667,5715.7,17.8,16.3
0.172,40.6,0.215,42.9,1.17,2.808,12192.33333,5677.4,13.6,17.6
0.155,42.9,0.167,41.7,0.897,1.957684,12059.66667,4500.9,19.3,15.4
0.162,44.7,0.166,40.8,0.988,1.91957,11443,5597.2,15.5,15.8
0.163,41.3,0.138,41.4,1.021,2.0158,11422,5375.6,16.5,18.2
0.181,43,0.173,38.8,1.212,2.872,11303.33333,5672.3,17.4,14.3
0.183,40.7,0.201,39.2,0.999,2.517,11463.8,6200.8,16.7,19.7
0.189,43.8,0.194,43.6,0.909,2.68462,12827.33333,6324.5,16.9,13.6
0.181,44.5,0.207,44.1,0.946,2.85,11041,5863.1,18.5,16.8
0.195,37.5,0.252,42.7,1.233,2.9275,11585,6413,18.8,16.9
0.122,40.4,0.141,39.5,0.808,1.98376,11625.66667,5481.1,12.5,18.5
0.145,41.8,0.165,41.8,0.988,2.115,11498.33333,5630.9,15.3,19.3
0.219,43.2,0.179,42.5,1.184,2.92857,11259.33333,5696.5,13.7,20.2
0.185,40.3,0.224,43.7,1.109,2.893,11643.06667,5514.7,12.8,13.7
0.119,41.7,0.147,43,0.816,1.8357,11571,5386.8,13.6,13.6
0.1052,39.4,0.188,43.6,0.815,1.7814,12958.73333,4660.2,17.1,18
0.205,40.5,0.214,40.5,1.203,2.99372,13573,5261.3,17.5,17.3
0.173,41.6,0.243,39.5,1.229,2.843,12692.46667,4974.9,15.8,18.1
0.174,43.7,0.218,39.5,1.124,2.448,10772.33333,5659.1,15.7,14.9
0.157,41,0.212,42.5,0.927,2.624,13148.13333,5587,16.9,15.5
0.156,44.5,0.17,40.8,1.019,2.05783,10600.73333,4700.5,13.2,15.3
0.171,43.3,0.136,41.7,0.991,2.17581,12024.46667,5667.7,12.8,16
0.155,40.8,0.155,40.2,1.108,2.3602,9663.933333,5603.6,13.4,17.5
0.183,42.5,0.16,43.9,1.204,2.69174,9526,6372.5,13.8,18.4
0.161,39.1,0.184,42.6,1.07,2.59857,12468.66667,5471.2,14.2,19.2
